id,level_0,level_1,level_2,level_3,level_4,level_5,segment_name
40011192,Aidata,Food and drink,Nutritional foods,Beverages,Non-alcoholic beverages,Coffee fans,Coffeemakers
40010064,Aidata,Transport,Auto owners,Auto products buyers,Auto parts and accessories,Wheels and tires buyers,Bridgestone
40010317,Aidata,Food and drink,Nutritional foods,Beverages,Non-alcoholic beverages,-,Energy Drinks
40010792,Aidata,Food and drink,Nutritional foods,Beverages,Non-alcoholic beverages,-,Tea fans
40010403,Aidata,Food and drink,Nutritional foods,Beverages,Non-alcoholic beverages,-,Coffee fans
90111020,Aidata,Food and drink,Nutritional foods,Beverages,Alcoholic beverages,-,Wine
40010769,Aidata,Food and drink,Nutritional foods,Beverages,Alcoholic beverages,-,Beer lovers
40014274,Aidata,Food and drink,Nutritional foods,Beverages,Alcoholic beverages,-,Strong alcohol
40015026,Aidata,Entertainment,Gaming,Online games,MOBA gamers,-,Gaming: League of Legends
40014646,Aidata,Entertainment,Gaming,Online games,MMORPG gaming,-,Gaming: World Of Tanks
40010647,Aidata,Entertainment,Gaming,Online games,MMORPG gaming,-,Warthunder MMORPG gaming
90113008,Aidata,Technology and electronics,Computers,Computer software,Network security,-,Security & antiviruses
90113004,Aidata,Technology and electronics,Computers,Computer software,Operating systems,-,Linux
90113005,Aidata,Technology and electronics,Computers,Computer software,Operating systems,-,Windows
40014765,Aidata,Beauty and fashion,Beauty care,Skin care,Cosmetics,-,Professional cosmetics
40015411,Aidata,Travel,Location (city/state/country),Europe,Turkey,-,Istanbul
40014595,Aidata,Travel,Location (city/state/country),Europe,Spain,-,Canary Islands
40015410,Aidata,Travel,Location (city/state/country),Europe,Czech Republic,-,Prague
40015407,Aidata,Travel,Location (city/state/country),Europe,United Kingdom,-,London
40015409,Aidata,Travel,Location (city/state/country),Europe,France,-,Paris
40014835,Aidata,Travel,Travel services,Flights,Airports,-,Sheremetyevo
40014983,Aidata,Finance,Personal finance services,Loans,Mortgage,-,Military mortgage
40010240,Aidata,Finance,Personal finance services,Banking,Credit cards,-,Small business cards
40014759,Aidata,Real estate,Estate type,Urban estate,Flats (primary),-,Apartments (primary)
40010651,Aidata,Real estate,Estate type,Urban estate,Flats (primary),-,Moscow flats (primary)
90104038,Aidata,Business,Goods and services for business,Business services,"Cargo, mail, logistics",-,Interested in delivery of mail and parcels
90104037,Aidata,Business,Goods and services for business,Business services,"Cargo, mail, logistics",-,Interested in commercial shipping
90104036,Aidata,Business,Goods and services for business,Business services,"Cargo, mail, logistics",-,Interested in commercial trucking
40014436,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Labrador retriever
40014440,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Great dane
40014431,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,English bulldog
40014427,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,West-highland-white-terrier
40014425,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Pug
40014421,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Dachshund
40014422,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Poodle
40014423,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Shih tzu
40014419,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Chihuahua
40014426,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Zwergschnauzer
40014420,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Yorkshire terrier
40014429,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Cocker spaniel
40014424,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Maltese
40014433,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,English setter
40014434,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Dalmatian
40014428,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Cavalier-king-charles-spaniel
40014432,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Jack russell terrier
40014430,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,French bulldog
40014437,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Golden retriever
40014439,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Rottweiler
40014438,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,German shepherd
40014435,Aidata,Hobbies,Pets,Dogs,Dog breeds,-,Boxer
40014446,Aidata,Hobbies,Pets,Cats,Cats breeds,-,Sphinx
40014443,Aidata,Hobbies,Pets,Cats,Cats breeds,-,Maine coon
40014344,Aidata,Hobbies,Pets,Cats,Cats breeds,-,Siberian
40014343,Aidata,Hobbies,Pets,Cats,Cats breeds,-,Bengal
40014442,Aidata,Hobbies,Pets,Cats,Cats breeds,-,Persian
40014445,Aidata,Hobbies,Pets,Cats,Cats breeds,-,Siamese
40014444,Aidata,Hobbies,Pets,Cats,Cats breeds,-,British
90101151,Aidata,Transport,Auto owners,Auto products buyers,Auto parts and accessories,-,Auto electronics buyers
90101149,Aidata,Transport,Auto owners,Auto products buyers,Auto parts and accessories,-,Wheels and tires buyers
90101150,Aidata,Transport,Auto owners,Auto products buyers,Auto parts and accessories,-,Buyers of chemicals and car care products
40014824,Aidata,Transport,Auto owners,Brand auto owners,Volkswagen owners,-,Volkswagen LCV owners
40015226,Aidata,Transport,Auto owners,Brand auto owners,Volkswagen owners,-,Volkswagen Amarok owners
40014620,Aidata,Transport,Auto owners,Brand auto owners,Mercedes owners,-,Mercedes Sprinter owners
40010911,Aidata,Transport,Auto owners,Brand auto owners,Skoda owners,-,Skoda Superb owners
40015523,Aidata,Transport,Auto owners,Brand auto owners,BMW owners,-,BMW X5 owners
40010770,Aidata,Transport,Auto owners,Brand auto owners,Audi owners,-,Audi A6 owners
40015224,Aidata,Transport,Auto owners,Brand auto owners,Audi owners,-,Audi A5 owners
40015111,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Kia,-,Kia Rio
40014348,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Kia,-,Kia Soul
40014354,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Kia,-,Kia Sportage
40014381,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Kia,-,Kia Optima
40015113,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Kia,-,Kia Cerato
40015112,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Kia,-,Kia Ceed
40015115,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Kia,-,Kia Picanto
40015114,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Kia,-,Kia Sorento Prime
40014780,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Kia,-,Kia Sorento
40015177,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Datsun,-,Datsun mi-DO
40015178,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Datsun,-,Datsun on-DO
40014355,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Renault,-,Renault Duster
40015151,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Renault,-,Renault Logan
40014351,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Renault,-,Renault Kaptur
40015152,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Renault,-,Renault Sandero
40014923,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes GLA
40015143,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes-Benz GLS / GL-Klasse
40015142,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes-Benz GLC
40015141,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes-Benz E-Klasse Saloon
40015140,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes-Benz Vans
40014922,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes-Benz B-Class
40014920,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes-Benz A-Class
40014921,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes CLA
40015246,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes-Benz Sprinter
40015147,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes-Benz GLC Coupe
40015146,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes-Benz GLE Coupe
40015145,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes-Benz C-Klasse Saloon
40015144,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mercedes-Benz,-,Mercedes-Benz GLE / M-klasse
40015159,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Lexus,-,Lexus RX
40015161,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Lexus,-,Lexus LX
40015160,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Lexus,-,Lexus NX
40015174,Aidata,Transport,Auto buyers and fans,Brand auto buyers,GAZ,-,GAZ LCV Gazelle
40015175,Aidata,Transport,Auto buyers and fans,Brand auto buyers,GAZ,-,GAZ LCV Sobol
40014382,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Skoda,-,Skoda Superb
40014971,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Skoda,-,Skoda Octavia
40014350,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Skoda,-,Skoda Yeti
40015157,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Skoda,-,Skoda Rapid
40015158,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Skoda,-,Skoda Kodiaq
40014866,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen Jetta
40014823,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen LCV
40014357,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen Tiguan
40014925,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen Touareg
40015167,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen NFZ Transporter/Caravelle
40014910,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen Passat
40015168,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen NFZ Caddy
40014926,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen Touareg
40015609,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen Crafter
40015166,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen Polo
40015518,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen Golf
40015109,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volkswagen,-,Volkswagen Teramont
40011204,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Opel,-,Opel Astra
40014367,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Opel,-,Opel Mokka
40011205,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Opel,-,Opel Corsa
40011206,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Opel,-,Opel Vectra
40015606,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Fiat,-,Fiat Ducato
40015490,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Porsche,-,Porsche Panamera
40015155,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Porsche,-,Porsche Macan
40015491,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Porsche,-,Porsche 911
40015156,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Porsche,-,Porsche Cayenne
40015181,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Lifan,-,Lifan Solano
40015182,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Lifan,-,Lifan X50
40015183,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Lifan,-,Lifan X60
40015165,Aidata,Transport,Auto buyers and fans,Brand auto buyers,UAZ,-,UAZ Hunter
40015164,Aidata,Transport,Auto buyers and fans,Brand auto buyers,UAZ,-,UAZ Pickup
40015163,Aidata,Transport,Auto buyers and fans,Brand auto buyers,UAZ,-,UAZ Patriot
40015162,Aidata,Transport,Auto buyers and fans,Brand auto buyers,UAZ,-,UAZ Classic Commercial
40015349,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Cadillac,-,Cadillac CTS
40014356,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Toyota,-,Toyota RAV4
40015169,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Toyota,-,Toyota LC Prado
40015170,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Toyota,-,Toyota LC 200
40014379,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Toyota,-,Toyota Camry
40015172,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Toyota,-,Toyota Hilux
40015171,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Toyota,-,Toyota Corolla
40015185,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mazda,-,Mazda 6
40015184,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mazda,-,Mazda CX-5
40015350,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Infiniti,-,Infiniti Q70
